Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2006.0,Darrell Adams,Villanova,DE,76.63,277.0,5.08,22.0,27.0,109.0,4.76,7.91,,,,,,,,,,,,,,,U
2006.0,Jahmile Addae,West Virginia,FS,70.25,214.0,4.74,,38.5,122.0,,,11-1-0,,,,,,,,,,,,,,U
2006.0,Sir Henry Anderson,Oregon State,DT,75.88,306.0,5.23,27.0,28.5,100.0,4.55,7.69,5-6-0,,,,,,,,,,,,,,U
2006.0,Eric Bassey,Oklahoma,CB,71.88,195.0,,,,,,,8-4-0,,,,,,,,,,,,,,U
2006.0,Brett Bell,Wisconsin,CB,72.25,190.0,,,,,,,10-3-0,,,,,,,,,,,,,,U
2006.0,McKinley Boykin,Mississippi,DT,73.0,289.0,5.04,30.0,30.5,109.0,4.75,,3-8-0,,,,,,,,,,,,,,U
2006.0,Trent Bray,Oregon State,ILB,72.63,231.0,4.91,18.0,32.0,109.0,4.41,7.15,5-6-0,,,,,,,,,,,,,,U
2006.0,Darrell Brooks,Arizona,FS,72.38,198.0,4.71,7.0,36.5,125.0,4.36,6.97,3-8-0,,,,,,,,,,,,,,U
2006.0,Manaia Brown,Brigham Young,DT,74.88,301.0,5.12,21.0,34.5,111.0,4.47,7.63,6-6-0,,,,,,,,,,,,,,U
2006.0,Copeland Bryan,Arizona,DE,75.63,253.0,4.94,16.0,33.0,117.0,4.3,7.11,3-8-0,,,,,,,,,,,,,,U
2006.0,Dion Byrum,Ohio,CB,71.0,192.0,,,,,,,4-7-0,,,,,,,,,,,,,,U
2006.0,Paul Carrington,Central Florida,DE,78.88,267.0,,,,,,,8-5-0,,,,,,,,,,,,,,U
2006.0,Thomas Carroll,Miami (FL),DE,75.88,239.0,,,,,,,9-3-0,,,,,,,,,,,,,,U
2006.0,John Chick,Utah State,OLB,75.25,265.0,,,,,,,3-8-0,,,,,,,,,,,,,,U
2006.0,Marcus Demps,San Diego State,FS,71.75,198.0,4.79,17.0,31.0,117.0,4.09,6.91,5-7-0,,,,,,,,,,,,,,U
2006.0,Will Derting,Washington State,ILB,72.25,247.0,,,,,,,4-7-0,,,,,,,,,,,,,,U
2006.0,Larry Dibbles,Texas,DT,73.75,285.0,,,,,,,13-0-0,,,,,,,,,,,,,,U
2006.0,Kader Drame,Syracuse,DT,77.0,290.0,5.29,17.0,30.5,108.0,,8.12,1-10-0,,,,,,,,,,,,,,U
2006.0,Tyler Everett,Ohio State,SS,71.13,200.0,,,,,,,10-2-0,,,,,,,,,,,,,,U
2006.0,Steve Fifita,Utah,DT,71.25,322.0,,,,,,,7-5-0,,,,,,,,,,,,,,U
2006.0,Gabriel Fulbright,New Mexico,CB,69.63,169.0,,,,,,,6-5-0,,,,,,,,,,,,,,U
2006.0,Charles Gordon,Kansas,CB,70.13,183.0,4.64,12.0,35.5,115.0,4.2,6.95,7-5-0,,,,,,,,,,,,,,U
2006.0,Marcus Green,Ohio State,DT,73.25,295.0,5.19,33.0,31.0,108.0,4.86,7.62,10-2-0,,,,,,,,,,,,,,U
2006.0,Brandon Guillory,Louisiana-Monroe,DE,75.38,252.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2006.0,Jason Hall,Tennessee,DE,74.25,253.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2006.0,Justin Hamilton,Virginia Tech,FS,75.13,218.0,,,,,,,11-2-0,,,,,,,,,,,,,,U
2006.0,Chris Harrell,Penn State,SS,72.38,209.0,4.74,15.0,40.5,119.0,4.12,7.02,11-1-0,,,,,,,,,,,,,,U
2006.0,Spencer Havner,UCLA,ILB,75.38,242.0,4.71,,39.0,116.0,4.07,6.81,10-2-0,,,,,,,,,,,,,,U
2006.0,Chris Hawkins,Marshall (WV),CB,70.13,183.0,4.53,16.0,37.0,116.0,4.18,,4-7-0,,,,,,,,,,,,,,U
2006.0,Jarvis Herring,Florida,SS,71.13,207.0,4.92,15.0,36.5,116.0,4.23,7.34,9-3-0,,,,,,,,,,,,,,U
2006.0,Reuben Houston,Georgia Tech,CB,71.88,192.0,4.68,21.0,41.5,127.0,4.42,,7-5-0,,,,,,,,,,,,,,U
2006.0,Oliver Hoyte,North Carolina State,ILB,74.63,245.0,4.98,19.0,32.0,112.0,4.3,7.47,7-5-0,,,,,,,,,,,,,,U
2006.0,Darrell Hunter,Miami (OH),CB,71.88,206.0,4.47,8.0,36.0,123.0,4.11,,7-4-0,,,,,,,,,,,,,,U
2006.0,Ben Ishola,Indiana,DE,75.13,248.0,,,,,,,4-7-0,,,,,,,,,,,,,,U
2006.0,Tommy Jackson,Auburn,DT,72.38,304.0,5.26,26.0,31.0,104.0,4.6,7.72,9-3-0,,,,,,,,,,,,,,U
2006.0,Charlton Keith,Kansas,OLB,76.38,237.0,4.83,12.0,30.5,109.0,4.36,7.03,7-5-0,,,,,,,,,,,,,,U
2006.0,William Kershaw,Maryland,OLB,74.75,240.0,4.67,21.0,37.0,111.0,4.17,6.95,5-6-0,,,,,,,,,,,,,,U
2006.0,Mike Kudla,Ohio State,DE,73.63,265.0,4.77,45.0,37.0,114.0,4.45,7.21,10-2-0,,,,,,,,,,,,,,U
2006.0,Antonio Malone,Toledo,CB,71.75,200.0,4.61,10.0,34.0,111.0,4.1,7.05,9-3-0,,,,,,,,,,,,,,U
2006.0,Antwan Marsh,Pikeville,FS,73.75,216.0,,,,,,,,,,,,,,,,,,,,,U
2006.0,Tony McDaniel,Tennessee,DT,78.88,300.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2006.0,Roger McIntosh,Miami (FL),OLB,74.13,237.0,4.65,18.0,41.5,119.0,,,9-3-0,,,,,,,,,,,,,,U
2006.0,Vincent Meeks,Texas Tech,SS,70.63,210.0,4.91,11.0,33.0,112.0,,,9-3-0,,,,,,,,,,,,,,U
2006.0,Javon Nanton,Miami (FL),DE,75.38,250.0,4.88,22.0,28.5,108.0,,,9-3-0,,,,,,,,,,,,,,U
2006.0,Khalid Naziruddin,Texas Tech,CB,69.13,185.0,4.69,17.0,38.5,119.0,,,9-3-0,,,,,,,,,,,,,,U
2006.0,Chijioke Onyenegecha,Oklahoma,CB,73.38,215.0,4.58,16.0,34.5,118.0,,,8-4-0,,,,,,,,,,,,,,U
2006.0,Kai Parham,Virginia,ILB,75.0,256.0,5.04,30.0,35.0,116.0,4.33,7.35,7-5-0,,,,,,,,,,,,,,U
2006.0,Nick Reid,Kansas,ILB,74.5,230.0,,,,,,,7-5-0,,,,,,,,,,,,,,U
2006.0,Freddie Roach,Alabama,ILB,73.88,257.0,4.96,,34.0,111.0,4.42,7.49,10-2-0,,,,,,,,,,,,,,U
2006.0,Dale Robinson,Arizona State,ILB,72.38,231.0,4.84,18.0,33.0,108.0,4.3,7.29,7-5-0,,,,,,,,,,,,,,U
2006.0,Dwayne Slay,Texas Tech,FS,75.5,216.0,4.83,,32.5,112.0,,,9-3-0,,,,,,,,,,,,,,U
2006.0,Harrison Smith,California,FS,73.63,200.0,,,,,,,8-4-0,,,,,,,,,,,,,,U
2006.0,LeKevin Smith,Nebraska,DT,74.88,316.0,5.06,30.0,30.5,109.0,4.92,7.93,8-4-0,,,,,,,,,,,,,,U
2006.0,John Syptak,Rice (TX),OLB,73.13,250.0,,,,,,,1-10-0,,,,,,,,,,,,,,U
2006.0,Anthony Trucks,Oregon,OLB,72.88,233.0,4.79,22.0,37.0,125.0,4.14,7.0,10-2-0,,,,,,,,,,,,,,U
